uniquename	name	genus	species
FBte0000216	Dana\ZAM	Drosophila	ananassae
FBte0000653	Dper\gypsy	Drosophila	persimilis
FBte0000133	I-element	Drosophila	melanogaster
FBte0000257	Dtei\mariner	Drosophila	teissieri
FBte0000258	Dato\copia	Drosophila	antonietae
FBte0000259	Dana\TART-element	Drosophila	ananassae
FBte0000260	Dequ\P-element	Drosophila	equinoxialis
FBte0000261	Deug\412	Drosophila	eugracilis
FBte0000562	Dkik\1731	Drosophila	kikkawai
FBte0000563	Dtak\mariner	Drosophila	takahashii
FBte0000564	Dyak\X-element	Drosophila	yakuba
FBte0000262	Dtro\gypsy	Drosophila	tropicalis
FBte0000263	Dfic\412	Drosophila	ficusphila
FBte0000264	Dlit\Penelope	Drosophila	littoralis
FBte0000525	Dbip\412	Drosophila	bipectinata
FBte0000565	Dkik\mariner	Drosophila	kikkawai
FBte0000045	Dpse\bilbo	Drosophila	pseudoobscura pseudoobscura
FBte0000265	Dper\3S18	Drosophila	persimilis
FBte0000267	Dm88	Drosophila	melanogaster
FBte0000268	Dper\P-element	Drosophila	persimilis
FBte0000544	Dstm\Gandalf	Drosophila	starmeri
FBte0000218	Dpse\I-element	Drosophila	pseudoobscura pseudoobscura
FBte0000566	Isfun-1-Dfun-like	Drosophila	melanogaster
FBte0000567	Dyak\mariner	Drosophila	yakuba
FBte0000245	Dsim\I-element	Drosophila	simulans
FBte0000568	pogo	Drosophila	melanogaster
FBte0000570	Dssa\P-element	Drosophila	subsaltans
FBte0000225	Dore\I-element	Drosophila	orena
FBte0000269	Dmul\Bari1	Drosophila	mulleri
FBte0000270	Dmau\Helena	Drosophila	mauritiana
FBte0000271	Dstm\gypsy	Drosophila	starmeri
FBte0000571	Dpst\R1-element	Drosophila	pseudotakahashii
FBte0000572	Dbar\mariner	Drosophila	barbarae
